date,description,debit,credit,balance
2024-12-20,UTILITY BILL ATM CASH,5674.00,,2189.74
2024-12-21,CHEQUE DEPOSIT SALARY,,318.80,10944.34
2024-12-21,UPI/IPAY103402,1582.42,,-17175.84
2024-12-21,NEFT INB SUPPLIER,,8787.34,7863.74
2024-12-21,UPI/IPAY174299,,8596.49,15732.78
2024-12-22,ATM CASH,2095.86,,-23090.49
2024-12-22,CARD FEE,5614.12,,-9158.25
2024-12-22,CHEQUE DEPOSIT,8724.46,,-5276.24
2024-12-23,FX CHARGE,,3801.88,-20994.63
2024-12-23,NEFT INB SUPPLIER FX CHARGE,,8050.65,-7501.05
2024-12-23,UPI/IPAY774079,,3956.92,-3544.13
2024-12-23,CARD FEE FX CHARGE,,8075.16,18415.14
2024-12-24,CHEQUE DEPOSIT,1396.24,,10625.54
2024-12-25,ATM CASH,2153.92,,-6401.90
2024-12-26,SALARY UTILITY BILL,8475.10,,-14877.00
2024-12-26,CHEQUE DEPOSIT SALARY,9961.22,,-22410.84
2024-12-27,FX CHARGE SALARY,,4515.41,1251.48
2024-12-28,UTILITY BILL,6499.19,,4445.15
2024-12-28,FX CHARGE,9223.03,,-24100.03
2024-12-28,UPI/IPAY211579,,5077.31,-12098.53
2024-12-29,CARD FEE,8693.13,,-4247.98
2024-12-29,UPI/IPAY793384 ATM CASH,696.48,,-24796.51
2024-12-29,CARD FEE UPI/IPAY356702,,5341.86,-17748.63
2024-12-29,ATM CASH,2193.99,,-11352.24
2024-12-29,SALARY NEFT INB SUPPLIER,,5884.81,7136.29
2024-12-30,SALARY,,2196.93,-15551.70
2024-12-30,FX CHARGE,,6817.42,-15593.42
2024-12-30,CHEQUE DEPOSIT,,1989.91,-10108.62
2024-12-30,UTILITY BILL,5392.80,,10339.98
2025-01-01,CARD FEE ATM CASH,1097.38,,-12449.62
2025-01-01,SALARY,,9185.02,-923.60
2025-01-01,CHEQUE DEPOSIT,,1258.48,3448.22
2025-01-01,FX CHARGE,,2012.31,-3263.93
