date,description,debit,credit,balance
2025-05-11,ATM CASH SALARY,,521.80,53039.63
2025-05-11,NEFT INB SUPPLIER,,1994.41,55034.04
2025-05-14,ATM CASH,,3016.53,52559.26
2025-05-15,UPI/IPAY328552,1144.78,,53889.26
2025-05-20,CARD FEE,257.76,,47558.63
2025-05-22,POS DUBAI MALL,6072.87,,47816.39
2025-05-23,ATM CASH UTILITY BILL,9512.09,,52517.83
2025-05-23,NEFT INB SUPPLIER,,1984.10,49542.73
2025-05-24,POS DUBAI MALL,,6356.22,62515.68
2025-05-24,CHEQUE DEPOSIT UTILITY BILL,5217.95,,57297.73
2025-05-25,FX CHARGE FX CHARGE,2602.30,,62029.92
2025-05-25,NEFT INB SUPPLIER,7310.53,,49987.20
2025-05-27,ATM CASH,,127.51,56159.46
2025-05-29,ATM CASH,,3472.69,56031.95
