date,description,debit,credit,balance
2024-12-10,CARD FEE,,2986.83,93293.10
2024-12-12,NEFT INB SUPPLIER,3309.48,,98004.46
2024-12-13,CHEQUE DEPOSIT,,3457.53,102745.65
2024-12-13,CARD FEE SALARY,5766.30,,96979.35
2024-12-15,CARD FEE,,9195.50,103093.45
2024-12-17,UTILITY BILL ATM CASH,,1474.39,108539.89
2024-12-17,CHEQUE DEPOSIT,9579.70,,91185.60
2024-12-17,CHEQUE DEPOSIT,,1214.46,92400.06
2024-12-17,CARD FEE,4856.93,,93897.95
2024-12-19,UPI/IPAY442027,,6669.26,99544.79
2024-12-19,NEFT INB SUPPLIER UPI/IPAY451470,,6329.78,107065.50
2024-12-20,UPI/IPAY373903 SALARY,,1154.30,99288.12
2024-12-20,POS DUBAI MALL NEFT INB SUPPLIER,,806.70,101313.94
2024-12-21,ATM CASH,9488.80,,92875.53
2024-12-23,UTILITY BILL,,6067.01,105468.11
2024-12-23,UTILITY BILL,,5479.17,107379.68
2024-12-23,CARD FEE UTILITY BILL,7698.19,,90306.27
2024-12-24,CARD FEE,6298.02,,102241.87
2024-12-24,CHEQUE DEPOSIT UTILITY BILL,2473.15,,104906.53
2024-12-25,ATM CASH CARD FEE,1476.57,,100765.30
2024-12-26,NEFT INB SUPPLIER,,5384.98,102364.33
2024-12-27,POS DUBAI MALL,4205.04,,95339.75
2024-12-27,CHEQUE DEPOSIT,,9500.45,101900.51
2024-12-27,UTILITY BILL,,5461.78,98754.88
2024-12-29,UPI/IPAY974224 NEFT INB SUPPLIER,,4061.35,99401.10
2024-12-30,UPI/IPAY848206 FX CHARGE,4399.29,,100507.24
2024-12-31,ATM CASH,4732.39,,100735.72
