date,description,debit,credit,balance
2024-12-27,UPI/IPAY822858,4085.77,,94612.20
2024-12-27,ATM CASH,7069.85,,87542.35
2024-12-27,UPI/IPAY723948,7926.49,,74720.71
2024-12-28,POS DUBAI MALL CHEQUE DEPOSIT,,2647.20,98697.97
2024-12-29,UTILITY BILL,,8577.47,104489.34
2024-12-30,POS DUBAI MALL,2248.87,,82647.20
2024-12-30,UPI/IPAY833723,6887.09,,67833.62
2024-12-31,CARD FEE FX CHARGE,,4378.15,72211.77
2024-12-31,SALARY,914.18,,71297.59
2024-12-31,CARD FEE,,9160.81,86221.29
2025-01-01,NEFT INB SUPPLIER,2646.28,,84896.07
2025-01-01,UTILITY BILL,,5762.89,77060.48
2025-01-01,FX CHARGE,,9690.58,95911.87
