date,description,debit,credit,balance
2025-03-22,UTILITY BILL,,1911.37,88896.55
2025-03-22,FX CHARGE UTILITY BILL,2216.74,,93586.21
2025-03-23,NEFT INB SUPPLIER UTILITY BILL,,9508.82,104835.85
2025-03-23,POS DUBAI MALL,741.75,,112769.38
2025-03-24,ATM CASH,,9491.31,122260.69
2025-03-25,CHEQUE DEPOSIT POS DUBAI MALL,3609.45,,110992.49
2025-03-26,ATM CASH,,9766.09,114601.94
2025-03-26,POS DUBAI MALL,546.21,,110446.28
2025-03-28,UPI/IPAY717113,4427.77,,123896.49
2025-03-29,FX CHARGE POS DUBAI MALL,,6682.22,94963.71
2025-03-29,UPI/IPAY456871 CHEQUE DEPOSIT,7978.53,,86985.18
2025-03-29,FX CHARGE,2514.79,,95327.03
2025-03-29,UTILITY BILL ATM CASH,1844.45,,113511.13
2025-03-30,UTILITY BILL,,6906.40,95802.95
2025-03-30,FX CHARGE,,4255.61,97841.82
2025-03-30,CHEQUE DEPOSIT,,6063.57,128324.26
2025-04-01,UTILITY BILL,,4909.30,115355.58
