date,description,debit,credit,balance
2024-12-04,NEFT INB SUPPLIER UPI/IPAY592738,6894.02,,12552.92
2024-12-05,UPI/IPAY885339,3076.81,,13254.91
2024-12-07,ATM CASH,,6476.70,16331.72
2024-12-08,NEFT INB SUPPLIER ATM CASH,5628.83,,10143.03
2024-12-10,CHEQUE DEPOSIT,4842.50,,33865.16
2024-12-12,CHEQUE DEPOSIT POS DUBAI MALL,7213.12,,38707.66
2024-12-12,POS DUBAI MALL,,1571.41,19446.94
2024-12-13,SALARY CHEQUE DEPOSIT,5341.82,,27517.18
2024-12-13,SALARY,,1263.67,28780.85
2024-12-16,UPI/IPAY717113,4427.77,,11778.83
2024-12-18,UPI/IPAY833723,6887.09,,6367.82
2024-12-20,CARD FEE FX CHARGE,,4378.15,10745.97
2024-12-21,CHEQUE DEPOSIT,,6063.57,16206.60
2024-12-22,SALARY UPI/IPAY457256,4787.66,,23993.19
2024-12-22,NEFT INB SUPPLIER NEFT INB SUPPLIER,,6096.70,17875.53
2024-12-23,FX CHARGE POS DUBAI MALL,1006.16,,32859.00
2024-12-26,UPI/IPAY174637,8596.21,,3956.71
2024-12-29,CARD FEE,,5898.31,9855.02
2024-12-31,SALARY,8221.33,,15771.86
