date,description,debit,credit,balance
2024-12-26,ATM CASH,9839.38,,40979.34
2024-12-26,NEFT INB SUPPLIER,3309.48,,30443.91
2024-12-26,UPI/IPAY584125 CARD FEE,,1357.86,20350.23
2024-12-27,CHEQUE DEPOSIT,9579.70,,23625.05
2024-12-27,CHEQUE DEPOSIT,,1214.46,24839.51
2024-12-27,SALARY,,5341.70,18992.37
2024-12-28,POS DUBAI MALL NEFT INB SUPPLIER,,806.70,33753.39
2024-12-29,POS DUBAI MALL,6756.60,,53624.27
2024-12-29,CARD FEE,6298.02,,34681.32
2024-12-29,ATM CASH CARD FEE,1476.57,,33204.75
2024-12-29,UTILITY BILL,,5479.17,39819.13
2024-12-29,CHEQUE DEPOSIT UTILITY BILL,2473.15,,37345.98
2024-12-29,UTILITY BILL,6791.74,,13650.67
2024-12-30,FX CHARGE,,3039.45,60380.87
2024-12-30,CHEQUE DEPOSIT,,9500.45,34339.96
2024-12-31,ATM CASH,5155.00,,48469.27
2024-12-31,UPI/IPAY848206 FX CHARGE,4399.29,,32946.69
2025-01-01,NEFT INB SUPPLIER POS DUBAI MALL,,2349.45,50818.72
2025-01-01,SALARY,9048.48,,21395.43
2025-01-01,FX CHARGE UPI/IPAY600149,,5757.33,27152.76
2025-01-01,CHEQUE DEPOSIT,8916.52,,18236.24
2025-01-01,UTILITY BILL SALARY,,2206.17,20442.41
