date,description,debit,credit,balance
2025-02-13,POS DUBAI MALL UPI/IPAY795613,,5546.47,-2487.76
2025-02-13,NEFT INB SUPPLIER,,8065.30,29633.46
2025-02-14,FX CHARGE ATM CASH,,9841.67,51540.80
2025-02-14,CHEQUE DEPOSIT,,572.60,23933.12
2025-02-14,CARD FEE,4346.20,,20410.82
2025-02-15,POS DUBAI MALL UPI/IPAY146228,,8293.65,21759.59
2025-02-15,FX CHARGE,,6910.51,34187.35
2025-02-16,ATM CASH NEFT INB SUPPLIER,9992.83,,26951.92
2025-02-16,NEFT INB SUPPLIER FX CHARGE,,7424.42,4936.66
2025-02-16,UPI/IPAY708792,,2612.89,24757.02
2025-02-17,CHEQUE DEPOSIT,2177.79,,23360.52
2025-02-18,POS DUBAI MALL,4814.10,,22137.82
2025-02-18,ATM CASH NEFT INB SUPPLIER,5078.78,,18854.34
2025-02-18,ATM CASH,,5517.25,27276.84
2025-02-19,UPI/IPAY378517,,3142.52,6519.81
2025-02-19,SALARY,,8529.28,13465.94
2025-02-20,UPI/IPAY246991,5363.32,,46177.48
2025-02-20,SALARY,7873.96,,28244.90
2025-02-20,ATM CASH UPI/IPAY444207,1932.10,,18146.75
2025-02-22,UPI/IPAY442027,,6669.26,26813.92
2025-02-24,CHEQUE DEPOSIT,4382.41,,-8034.23
2025-02-24,CHEQUE DEPOSIT,2496.05,,35989.74
2025-02-24,SALARY,,3997.38,22144.13
2025-02-24,ATM CASH,9488.80,,20144.66
2025-02-25,UPI/IPAY922157,3904.83,,18232.99
2025-02-25,SALARY,8902.98,,9951.36
2025-02-26,UTILITY BILL,,7305.32,25538.31
2025-02-26,POS DUBAI MALL,,7495.03,43484.77
2025-02-26,CARD FEE,7365.91,,36118.86
2025-02-27,CHEQUE DEPOSIT,9232.73,,36944.75
2025-02-27,ATM CASH ATM CASH,7518.89,,-999.08
2025-02-28,NEFT INB SUPPLIER,8166.05,,20078.85
2025-03-02,NEFT INB SUPPLIER,2652.74,,-3651.82
2025-03-02,POS DUBAI MALL,4205.04,,22608.88
2025-03-03,SALARY,,4298.44,38485.79
2025-03-04,UPI/IPAY692683,6574.07,,3377.29
2025-03-04,SALARY CARD FEE,,1157.34,21568.16
