date,description,debit,credit,balance
2025-03-10,UTILITY BILL,,1911.37,35745.60
2025-03-10,FX CHARGE UTILITY BILL,2216.74,,40435.26
2025-03-12,CARD FEE,4508.57,,51147.23
2025-03-13,ATM CASH,,3016.53,58227.86
2025-03-15,CARD FEE,,1081.88,53227.23
2025-03-16,ATM CASH NEFT INB SUPPLIER,,6213.74,44476.14
2025-03-17,SALARY NEFT INB SUPPLIER,,7812.55,38262.40
2025-03-18,FX CHARGE,,4703.60,30449.85
2025-03-18,CHEQUE DEPOSIT,8803.32,,33834.23
2025-03-20,CARD FEE,,3791.88,25746.25
2025-03-20,FX CHARGE,8509.68,,42637.55
2025-03-22,NEFT INB SUPPLIER,,1984.10,55211.33
2025-03-23,POS DUBAI MALL,,6356.22,68184.28
2025-03-23,CHEQUE DEPOSIT UTILITY BILL,5217.95,,62966.33
2025-03-24,ATM CASH,,7669.21,52145.35
2025-03-24,NEFT INB SUPPLIER,7310.53,,55655.80
2025-03-26,ATM CASH,,127.51,61828.06
2025-03-27,UTILITY BILL,,6906.40,42652.00
2025-03-27,FX CHARGE,,4255.61,44690.87
2025-03-28,ATM CASH,,3472.69,61700.55
