date,description,debit,credit,balance
2024-12-29,CARD FEE CHEQUE DEPOSIT,3145.86,,32327.07
2024-12-29,CHEQUE DEPOSIT FX CHARGE,,5426.39,37753.46
2024-12-29,UPI/IPAY851413 CARD FEE,,1540.56,51604.07
2024-12-30,SALARY,,8359.75,34146.17
2024-12-30,ATM CASH UTILITY BILL,137.73,,50063.51
2024-12-31,UTILITY BILL,,7631.33,41777.50
2024-12-31,ATM CASH,5853.71,,35923.79
2025-01-01,POS DUBAI MALL FX CHARGE,3333.75,,32590.04
2025-01-01,CHEQUE DEPOSIT,,2882.89,35472.93
2025-01-01,POS DUBAI MALL UPI/IPAY313446,,7600.15,45353.61
2025-01-01,NEFT INB SUPPLIER,,4847.63,50201.24
2025-01-01,NEFT INB SUPPLIER CHEQUE DEPOSIT,,2438.07,54042.14
